,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season
269,Randy Wittman,WAS,5,10,82,41,41,377,178,199,684,278,406,0.406,,,,21.0,12.0,9.0,21.0,12.0,9.0,2015
270,Red Auerbach,BOS,12,16,80,60,20,872,562,310,1097,705,392,0.643,14.0,8.0,6.0,96.0,55.0,41.0,116.0,64.0,52.0,1961
271,Jim Pollard,CHP,1,2,80,18,62,80,18,62,119,32,87,0.26899999999999996,,,,,,,9.0,5.0,4.0,1961
272,Charles Wolf,CIN,2,2,80,43,37,159,76,83,159,76,83,0.478,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1961
273,Dick McGuire,DET,3,3,80,37,43,200,88,112,200,88,112,0.44,10.0,5.0,5.0,17.0,7.0,10.0,17.0,7.0,10.0,1961
274,Fred Schaus,LAL,2,2,80,54,26,159,90,69,159,90,69,0.5660000000000001,13.0,7.0,6.0,25.0,13.0,12.0,25.0,13.0,12.0,1961
275,Eddie Donovan,NYK,1,1,80,29,51,80,29,51,80,29,51,0.363,,,,,,,,,,1961
276,Frank McGuire,PHW,1,1,80,49,31,80,49,31,80,49,31,0.613,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,1961
277,Paul Seymour,STL,2,6,14,5,9,93,56,37,372,211,161,0.5670000000000001,,,,12.0,5.0,7.0,32.0,14.0,18.0,1961
278,Andrew Levane,STL,3,5,60,20,40,177,58,119,276,106,170,0.384,,,,,,,2.0,0.0,2.0,1961
279,Bob Pettit,STL,1,1,6,4,2,6,4,2,6,4,2,0.667,,,,,,,,,,1961
280,Alex Hannum,SYR,2,4,80,41,39,159,79,80,262,135,127,0.515,5.0,2.0,3.0,13.0,6.0,7.0,34.0,20.0,14.0,1961
281,Mike Budenholzer,ATL,4,4,82,43,39,328,189,139,328,189,139,0.5760000000000001,6.0,2.0,4.0,39.0,17.0,22.0,39.0,17.0,22.0,2016
282,Brad Stevens,BOS,4,4,82,53,29,328,166,162,328,166,162,0.506,18.0,9.0,9.0,28.0,11.0,17.0,28.0,11.0,17.0,2016
283,Kenny Atkinson,BRK,1,1,82,20,62,82,20,62,82,20,62,0.244,,,,,,,,,,2016
284,Fred Hoiberg,CHI,2,2,82,41,41,164,83,81,164,83,81,0.506,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2016
285,Steve Clifford,CHO,4,4,82,36,46,328,160,168,328,160,168,0.488,,,,11.0,3.0,8.0,11.0,3.0,8.0,2016
286,Tyronn Lue,CLE,2,2,82,51,31,123,78,45,123,78,45,0.634,18.0,13.0,5.0,39.0,29.0,10.0,39.0,29.0,10.0,2016
287,Rick Carlisle,DAL,9,15,82,33,49,722,413,309,1214,694,520,0.5720000000000001,,,,58.0,28.0,30.0,120.0,58.0,62.0,2016
288,Mike Malone,DEN,2,4,82,40,42,164,73,91,270,112,158,0.415,,,,,,,,,,2016
289,Stan Van Gundy,DET,3,11,82,37,45,246,113,133,825,484,341,0.5870000000000001,,,,4.0,0.0,4.0,91.0,48.0,43.0,2016
290,Steve Kerr,GSW,3,3,82,67,15,246,207,39,246,207,39,0.841,17.0,16.0,1.0,62.0,47.0,15.0,62.0,47.0,15.0,2016
291,Mike D'Antoni,HOU,1,13,82,55,27,82,55,27,963,510,453,0.53,11.0,6.0,5.0,11.0,6.0,5.0,70.0,32.0,38.0,2016
292,Nate McMillan,IND,1,13,82,42,40,82,42,40,1012,520,492,0.514,4.0,0.0,4.0,4.0,0.0,4.0,38.0,14.0,24.0,2016
293,Doc Rivers,LAC,4,18,82,51,31,328,217,111,1388,804,584,0.579,7.0,3.0,4.0,40.0,18.0,22.0,161.0,82.0,79.0,2016
294,Luke Walton,LAL,1,1,82,26,56,82,26,56,82,26,56,0.317,,,,,,,,,,2016
295,David Fizdale,MEM,1,1,82,43,39,82,43,39,82,43,39,0.524,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2016
296,Erik Spoelstra,MIA,9,9,82,41,41,722,440,282,722,440,282,0.609,,,,113.0,70.0,43.0,113.0,70.0,43.0,2016
297,Jason Kidd,MIL,3,4,82,42,40,246,116,130,328,160,168,0.488,6.0,2.0,4.0,12.0,4.0,8.0,24.0,9.0,15.0,2016
298,Tom Thibodeau,MIN,1,6,82,31,51,82,31,51,476,286,190,0.601,,,,,,,51.0,23.0,28.0,2016
299,Alvin Gentry,NOP,2,14,82,34,48,164,64,100,869,399,470,0.45899999999999996,,,,,,,21.0,12.0,9.0,2016
300,Jeff Hornacek,NYK,1,4,82,31,51,82,31,51,295,132,163,0.447,,,,,,,,,,2016
301,Billy Donovan,OKC,2,2,82,47,35,164,102,62,164,102,62,0.622,5.0,1.0,4.0,23.0,12.0,11.0,23.0,12.0,11.0,2016
302,Frank Vogel,ORL,1,7,82,29,53,82,29,53,513,279,234,0.544,,,,,,,61.0,31.0,30.0,2016
303,Brett Brown,PHI,4,4,82,28,54,328,75,253,328,75,253,0.22899999999999998,,,,,,,,,,2016
304,Earl Watson,PHO,2,2,82,24,58,115,33,82,115,33,82,0.287,,,,,,,,,,2016
305,Terry Stotts,POR,5,9,82,41,41,410,223,187,693,338,355,0.488,4.0,0.0,4.0,31.0,11.0,20.0,36.0,12.0,24.0,2016
306,Dave Joerger,SAC,1,4,82,32,50,82,32,50,328,179,149,0.546,,,,,,,22.0,9.0,13.0,2016
307,Gregg Popovich,SAS,21,21,82,61,21,1656,1150,506,1656,1150,506,0.6940000000000001,16.0,8.0,8.0,272.0,166.0,106.0,272.0,166.0,106.0,2016
308,Dwane Casey,TOR,6,8,82,51,31,476,261,215,598,314,284,0.525,10.0,4.0,6.0,41.0,17.0,24.0,41.0,17.0,24.0,2016
309,Quin Snyder,UTA,3,3,82,51,31,246,129,117,246,129,117,0.524,11.0,4.0,7.0,11.0,4.0,7.0,11.0,4.0,7.0,2016
310,Scott Brooks,WAS,1,8,82,49,33,82,49,33,627,387,240,0.617,13.0,7.0,6.0,13.0,7.0,6.0,86.0,46.0,40.0,2016
311,Red Auerbach,BOS,8,12,72,49,23,566,334,232,791,477,314,0.603,11.0,6.0,5.0,48.0,23.0,25.0,68.0,32.0,36.0,1957
312,Bobby Wanzer,CIN,3,3,72,33,39,216,95,121,216,95,121,0.44,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1957
313,Charles Eckman,DET,4,4,25,9,16,241,123,118,241,123,118,0.51,,,,23.0,10.0,13.0,23.0,10.0,13.0,1957
314,Red Rocha,DET,1,1,47,24,23,47,24,23,47,24,23,0.511,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,1957
315,George Mikan,MNL,1,1,39,9,30,39,9,30,39,9,30,0.231,,,,,,,,,,1957
316,John Kundla,MNL,10,10,33,10,23,653,390,263,653,390,263,0.597,,,,82.0,54.0,28.0,82.0,54.0,28.0,1957
317,Vince Boryla,NYK,3,3,72,35,37,165,80,85,165,80,85,0.485,,,,,,,,,,1957
318,George Senesky,PHW,3,3,72,37,35,216,119,97,216,119,97,0.551,8.0,3.0,5.0,20.0,10.0,10.0,20.0,10.0,10.0,1957
319,Alex Hannum,STL,2,2,72,41,31,103,56,47,103,56,47,0.544,11.0,8.0,3.0,21.0,14.0,7.0,21.0,14.0,7.0,1957
320,Paul Seymour,SYR,2,2,72,41,31,132,75,57,132,75,57,0.568,3.0,1.0,2.0,8.0,3.0,5.0,8.0,3.0,5.0,1957
321,Mike Fratello,ATL,8,8,82,41,41,577,324,253,577,324,253,0.562,,,,40.0,18.0,22.0,40.0,18.0,22.0,1989
322,Jimmy Rodgers,BOS,2,2,82,52,30,164,94,70,164,94,70,0.573,5.0,2.0,3.0,8.0,2.0,6.0,8.0,2.0,6.0,1989
323,Dick Harter,CHH,2,2,40,8,32,122,28,94,122,28,94,0.23,,,,,,,,,,1989
324,Gene Littles,CHH,1,2,42,11,31,42,11,31,57,15,42,0.263,,,,,,,,,,1989
325,Phil Jackson,CHI,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,16.0,10.0,6.0,16.0,10.0,6.0,16.0,10.0,6.0,1989
326,Lenny Wilkens,CLE,4,17,82,42,40,328,172,156,1372,725,647,0.528,5.0,2.0,3.0,15.0,6.0,9.0,84.0,43.0,41.0,1989
327,John MacLeod,DAL,3,17,11,5,6,175,96,79,1297,675,622,0.52,,,,17.0,10.0,7.0,98.0,47.0,51.0,1989
328,Richie Adubato,DAL,1,2,71,42,29,71,42,29,141,54,87,0.38299999999999995,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1989
329,Doug Moe,DEN,10,14,82,43,39,789,432,357,1101,609,492,0.5529999999999999,3.0,0.0,3.0,61.0,24.0,37.0,83.0,33.0,50.0,1989
330,Chuck Daly,DET,7,8,82,59,23,574,369,205,615,378,237,0.615,20.0,15.0,5.0,93.0,62.0,31.0,93.0,62.0,31.0,1989
331,Don Nelson,GSW,2,13,82,37,45,164,80,84,1048,620,428,0.5920000000000001,,,,8.0,4.0,4.0,96.0,46.0,50.0,1989
332,Don Chaney,HOU,2,5,82,41,41,164,86,78,349,139,210,0.39799999999999996,4.0,1.0,3.0,8.0,2.0,6.0,8.0,2.0,6.0,1989
333,Dick Versace,IND,2,2,82,42,40,135,64,71,135,64,71,0.474,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1989
334,Don Casey,LAC,2,2,82,30,52,126,41,85,126,41,85,0.325,,,,,,,,,,1989
335,Pat Riley,LAL,9,9,82,63,19,727,533,194,727,533,194,0.733,9.0,4.0,5.0,149.0,102.0,47.0,149.0,102.0,47.0,1989
336,Ron Rothstein,MIA,2,2,82,18,64,164,33,131,164,33,131,0.201,,,,,,,,,,1989
337,Del Harris,MIL,3,7,82,44,38,246,135,111,574,276,298,0.48100000000000004,4.0,1.0,3.0,18.0,6.0,12.0,49.0,21.0,28.0,1989
338,Bill Musselman,MIN,1,4,82,22,60,82,22,60,213,56,157,0.263,,,,,,,,,,1989
339,Bill Fitch,NJN,1,19,82,17,65,82,17,65,1558,779,779,0.5,,,,,,,102.0,54.0,48.0,1989
340,Stu Jackson,NYK,1,1,82,45,37,82,45,37,82,45,37,0.5489999999999999,10.0,4.0,6.0,10.0,4.0,6.0,10.0,4.0,6.0,1989
341,Matt Guokas,ORL,1,4,82,18,64,82,18,64,289,137,152,0.474,,,,,,,17.0,8.0,9.0,1989
342,Jim Lynam,PHI,3,5,82,53,29,203,115,88,346,167,179,0.483,10.0,4.0,6.0,13.0,4.0,9.0,13.0,4.0,9.0,1989
343,Cotton Fitzsimmons,PHO,4,17,82,54,28,328,206,122,1386,697,689,0.503,16.0,9.0,7.0,28.0,16.0,12.0,68.0,29.0,39.0,1989
344,Rick Adelman,POR,2,2,82,59,23,117,73,44,117,73,44,0.624,21.0,12.0,9.0,24.0,12.0,12.0,24.0,12.0,12.0,1989
345,Jerry Reynolds,SAC,4,4,28,7,21,170,56,114,170,56,114,0.32899999999999996,,,,,,,,,,1989
346,Dick Motta,SAC,1,20,54,16,38,54,16,38,1612,824,788,0.511,,,,,,,126.0,56.0,70.0,1989
347,Larry Brown,SAS,2,11,82,56,26,164,77,87,875,523,352,0.598,10.0,6.0,4.0,10.0,6.0,4.0,73.0,34.0,39.0,1989
348,Bernie Bickerstaff,SEA,5,5,82,41,41,410,202,208,410,202,208,0.493,,,,27.0,12.0,15.0,27.0,12.0,15.0,1989
349,Jerry Sloan,UTA,2,5,82,55,27,147,95,52,362,189,173,0.522,5.0,2.0,3.0,8.0,2.0,6.0,14.0,4.0,10.0,1989
350,Wes Unseld,WSB,3,3,82,31,51,219,101,118,219,101,118,0.461,,,,5.0,2.0,3.0,5.0,2.0,3.0,1989
351,Mike Fratello,ATL,5,5,82,57,25,331,181,150,331,181,150,0.547,9.0,4.0,5.0,23.0,10.0,13.0,23.0,10.0,13.0,1986
352,K.C. Jones,BOS,4,8,82,59,23,328,251,77,658,436,222,0.6629999999999999,23.0,13.0,10.0,85.0,56.0,29.0,120.0,70.0,50.0,1986
353,Doug Collins,CHI,1,1,82,40,42,82,40,42,82,40,42,0.488,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1986
354,Lenny Wilkens,CLE,1,14,82,31,51,82,31,51,1126,584,542,0.519,,,,,,,69.0,37.0,32.0,1986
355,Dick Motta,DAL,7,19,82,55,27,574,267,307,1558,808,750,0.519,4.0,1.0,3.0,28.0,11.0,17.0,126.0,56.0,70.0,1986
356,Doug Moe,DEN,7,11,82,37,45,543,291,252,855,468,387,0.547,3.0,0.0,3.0,44.0,19.0,25.0,66.0,28.0,38.0,1986
357,Chuck Daly,DET,4,5,82,52,30,328,193,135,369,202,167,0.547,15.0,10.0,5.0,33.0,18.0,15.0,33.0,18.0,15.0,1986
358,George Karl,GSW,1,3,82,42,40,82,42,40,231,103,128,0.446,10.0,4.0,6.0,10.0,4.0,6.0,14.0,5.0,9.0,1986
359,Bill Fitch,HOU,4,17,82,42,40,328,170,158,1394,716,678,0.514,10.0,5.0,5.0,35.0,20.0,15.0,98.0,53.0,45.0,1986
360,Jack Ramsay,IND,1,19,82,41,41,82,41,41,1558,826,732,0.53,4.0,1.0,3.0,4.0,1.0,3.0,102.0,44.0,58.0,1986
361,Don Chaney,LAC,3,3,82,12,70,185,53,132,185,53,132,0.28600000000000003,,,,,,,,,,1986
362,Pat Riley,LAL,6,6,82,65,17,481,351,130,481,351,130,0.73,18.0,15.0,3.0,101.0,72.0,29.0,101.0,72.0,29.0,1986
363,Don Nelson,MIL,11,11,82,50,32,884,540,344,884,540,344,0.611,12.0,6.0,6.0,88.0,42.0,46.0,88.0,42.0,46.0,1986
364,Dave Wohl,NJN,2,2,82,24,58,164,63,101,164,63,101,0.384,,,,3.0,0.0,3.0,3.0,0.0,3.0,1986
365,Hubie Brown,NYK,5,12,16,4,12,344,142,202,919,445,474,0.484,,,,18.0,8.0,10.0,59.0,31.0,28.0,1986
366,Bob Hill,NYK,1,1,66,20,46,66,20,46,66,20,46,0.303,,,,,,,,,,1986
367,Matt Guokas,PHI,2,2,82,45,37,164,99,65,164,99,65,0.604,5.0,2.0,3.0,17.0,8.0,9.0,17.0,8.0,9.0,1986
368,John MacLeod,PHO,14,14,56,22,34,1122,579,543,1122,579,543,0.516,,,,81.0,37.0,44.0,81.0,37.0,44.0,1986
369,Dick Van Arsdale,PHO,1,1,26,14,12,26,14,12,26,14,12,0.5379999999999999,,,,,,,,,,1986
370,Mike Schuler,POR,1,1,82,49,33,82,49,33,82,49,33,0.598,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1986
371,Phil Johnson,SAC,8,9,46,14,32,542,236,306,543,236,307,0.435,,,,9.0,2.0,7.0,9.0,2.0,7.0,1986
372,Jerry Reynolds,SAC,1,1,36,15,21,36,15,21,36,15,21,0.41700000000000004,,,,,,,,,,1986
373,Bob Weiss,SAS,1,1,82,28,54,82,28,54,82,28,54,0.341,,,,,,,,,,1986
374,Bernie Bickerstaff,SEA,2,2,82,39,43,164,70,94,164,70,94,0.42700000000000005,14.0,7.0,7.0,14.0,7.0,7.0,14.0,7.0,7.0,1986
375,Frank Layden,UTA,6,6,82,44,38,472,219,253,472,219,253,0.46399999999999997,5.0,2.0,3.0,30.0,12.0,18.0,30.0,12.0,18.0,1986
376,Kevin Loughery,WSB,2,15,82,42,40,95,49,46,1069,501,568,0.469,3.0,0.0,3.0,8.0,2.0,6.0,51.0,25.0,26.0,1986
377,Lenny Wilkens,ATL,7,27,82,28,54,542,310,232,2160,1179,981,0.546,,,,47.0,17.0,30.0,157.0,72.0,85.0,1999
378,Rick Pitino,BOS,3,5,82,35,47,214,90,124,378,180,198,0.47600000000000003,,,,,,,13.0,6.0,7.0,1999
379,Paul Silas,CHH,2,5,82,49,33,117,71,46,363,149,214,0.41,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1999
380,Tim Floyd,CHI,2,2,82,17,65,132,30,102,132,30,102,0.22699999999999998,,,,,,,,,,1999
381,Randy Wittman,CLE,1,1,82,32,50,82,32,50,82,32,50,0.39,,,,,,,,,,1999
382,Don Nelson,DAL,3,22,82,40,42,198,75,123,1678,926,752,0.552,,,,,,,112.0,51.0,61.0,1999
383,Dan Issel,DEN,4,4,82,35,47,280,131,149,280,131,149,0.46799999999999997,,,,12.0,6.0,6.0,12.0,6.0,6.0,1999
384,Alvin Gentry,DET,3,4,58,28,30,145,73,72,181,88,93,0.486,,,,5.0,2.0,3.0,5.0,2.0,3.0,1999
385,George Irvine,DET,1,4,24,14,10,24,14,10,208,68,140,0.327,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1999
386,P.J. Carlesimo,GSW,3,6,27,6,21,159,46,113,405,183,222,0.452,,,,,,,12.0,3.0,9.0,1999
387,Garry St. Jean,GSW,1,6,55,13,42,55,13,42,450,172,278,0.382,,,,,,,4.0,1.0,3.0,1999
388,Rudy Tomjanovich,HOU,9,9,82,34,48,654,387,267,654,387,267,0.5920000000000001,,,,90.0,51.0,39.0,90.0,51.0,39.0,1999
389,Larry Bird,IND,3,3,82,56,26,214,147,67,214,147,67,0.687,23.0,13.0,10.0,52.0,32.0,20.0,52.0,32.0,20.0,1999
390,Chris Ford,LAC,2,9,45,11,34,95,20,75,669,311,358,0.465,,,,,,,29.0,13.0,16.0,1999
391,Jim Todd,LAC,1,1,37,4,33,37,4,33,37,4,33,0.10800000000000001,,,,,,,,,,1999
392,Phil Jackson,LAL,1,10,82,67,15,82,67,15,820,612,208,0.746,23.0,15.0,8.0,23.0,15.0,8.0,175.0,126.0,49.0,1999
393,Pat Riley,MIA,5,18,82,52,30,378,243,135,1433,999,434,0.6970000000000001,10.0,6.0,4.0,40.0,18.0,22.0,252.0,155.0,97.0,1999
394,George Karl,MIL,2,13,82,42,40,132,70,62,961,573,388,0.596,5.0,2.0,3.0,8.0,2.0,6.0,102.0,47.0,55.0,1999
395,Flip Saunders,MIN,5,5,82,50,32,358,180,178,358,180,178,0.503,4.0,1.0,3.0,16.0,4.0,12.0,16.0,4.0,12.0,1999
396,Don Casey,NJN,2,4,82,31,51,112,44,68,238,85,153,0.35700000000000004,,,,,,,,,,1999
397,Jeff Van Gundy,NYK,5,5,82,50,32,319,190,129,319,190,129,0.596,16.0,9.0,7.0,64.0,35.0,29.0,64.0,35.0,29.0,1999
398,Doc Rivers,ORL,1,1,82,41,41,82,41,41,82,41,41,0.5,,,,,,,,,,1999
399,Larry Brown,PHI,3,21,82,49,33,214,108,106,1654,961,693,0.581,10.0,5.0,5.0,18.0,8.0,10.0,143.0,69.0,74.0,1999
400,Danny Ainge,PHO,4,4,20,13,7,226,136,90,226,136,90,0.602,,,,12.0,3.0,9.0,12.0,3.0,9.0,1999
401,Scott Skiles,PHO,1,1,62,40,22,62,40,22,62,40,22,0.645,9.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,5.0,1999
402,Mike Dunleavy,POR,3,9,82,59,23,214,140,74,706,348,358,0.493,16.0,10.0,6.0,33.0,18.0,15.0,56.0,31.0,25.0,1999
403,Rick Adelman,SAC,2,10,82,44,38,132,71,61,741,428,313,0.578,5.0,2.0,3.0,10.0,4.0,6.0,79.0,40.0,39.0,1999
404,Gregg Popovich,SAS,4,4,82,53,29,278,163,115,278,163,115,0.586,4.0,1.0,3.0,30.0,20.0,10.0,30.0,20.0,10.0,1999
405,Paul Westphal,SEA,2,6,82,45,37,132,70,62,411,261,150,0.635,5.0,2.0,3.0,5.0,2.0,3.0,49.0,27.0,22.0,1999
406,Butch Carter,TOR,3,3,82,45,37,165,73,92,165,73,92,0.442,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1999
407,Jerry Sloan,UTA,12,15,82,55,27,935,637,298,1150,731,419,0.636,10.0,4.0,6.0,138.0,72.0,66.0,144.0,74.0,70.0,1999
408,Brian Hill,VAN,3,7,22,4,18,154,31,123,449,222,227,0.494,,,,,,,36.0,18.0,18.0,1999
409,Lionel Hollins,VAN,1,1,60,18,42,60,18,42,60,18,42,0.3,,,,,,,,,,1999
410,Gar Heard,WAS,1,2,44,14,30,44,14,30,97,23,74,0.237,,,,,,,,,,1999
411,Darrell Walker,WAS,1,3,38,15,23,38,15,23,169,56,113,0.331,,,,,,,,,,1999
412,Fred Scolari,BLB,1,1,39,12,27,39,12,27,39,12,27,0.308,,,,,,,,,,1951
413,Chick Reiser,BLB,1,1,27,8,19,27,8,19,27,8,19,0.29600000000000004,,,,,,,,,,1951
414,Red Auerbach,BOS,2,6,66,39,27,135,78,57,360,221,139,0.614,3.0,1.0,2.0,5.0,1.0,4.0,25.0,10.0,15.0,1951
415,Paul Birch,FTW,1,2,66,29,37,66,29,37,126,44,82,0.349,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1951
416,Herm Schaefer,INO,1,1,66,34,32,66,34,32,66,34,32,0.515,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1951
417,Doxie Moore,MLH,1,2,66,17,49,66,17,49,92,32,60,0.348,,,,,,,8.0,4.0,4.0,1951
418,John Kundla,MNL,4,4,66,40,26,262,179,83,262,179,83,0.6829999999999999,13.0,9.0,4.0,42.0,30.0,12.0,42.0,30.0,12.0,1951
419,Joe Lapchick,NYK,5,5,66,37,29,308,171,137,308,171,137,0.555,14.0,8.0,6.0,42.0,23.0,19.0,42.0,23.0,19.0,1951
420,Edward Gottlieb,PHW,6,6,66,33,33,368,189,179,368,189,179,0.514,3.0,1.0,2.0,32.0,15.0,17.0,32.0,15.0,17.0,1951
421,Les Harrison,ROC,4,4,66,41,25,262,178,84,262,178,84,0.679,6.0,3.0,3.0,26.0,14.0,12.0,26.0,14.0,12.0,1951
422,Al Cervi,SYR,3,3,66,40,26,196,123,73,196,123,73,0.628,7.0,3.0,4.0,25.0,13.0,12.0,25.0,13.0,12.0,1951
423,Mike Woodson,ATL,6,6,82,53,29,492,206,286,492,206,286,0.419,11.0,4.0,7.0,29.0,11.0,18.0,29.0,11.0,18.0,2009
424,Doc Rivers,BOS,6,11,82,50,32,492,280,212,831,451,380,0.5429999999999999,24.0,15.0,9.0,71.0,41.0,30.0,86.0,46.0,40.0,2009
425,Larry Brown,CHA,2,29,82,44,38,164,79,85,2310,1318,992,0.5710000000000001,4.0,0.0,4.0,4.0,0.0,4.0,235.0,120.0,115.0,2009
426,Vinny Del Negro,CHI,2,2,82,41,41,164,82,82,164,82,82,0.5,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2009
427,Mike Brown,CLE,5,5,82,61,21,410,272,138,410,272,138,0.6629999999999999,11.0,6.0,5.0,71.0,42.0,29.0,71.0,42.0,29.0,2009
428,Rick Carlisle,DAL,2,8,82,55,27,164,105,59,656,386,270,0.588,6.0,2.0,4.0,16.0,7.0,9.0,78.0,37.0,41.0,2009
429,George Karl,DEN,6,22,82,53,29,450,278,172,1657,986,671,0.595,6.0,2.0,4.0,41.0,15.0,26.0,167.0,74.0,93.0,2009
430,John Kuester,DET,1,1,82,27,55,82,27,55,82,27,55,0.32899999999999996,,,,,,,,,,2009
431,Don Nelson,GSW,11,31,82,26,56,865,422,443,2398,1335,1063,0.557,,,,35.0,14.0,21.0,166.0,75.0,91.0,2009
432,Rick Adelman,HOU,3,19,82,42,40,246,150,96,1479,902,577,0.61,,,,19.0,9.0,10.0,157.0,79.0,78.0,2009
433,Jim O'Brien,IND,3,8,82,32,50,246,104,142,586,286,300,0.488,,,,,,,31.0,14.0,17.0,2009
434,Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,613,716,0.461,,,,12.0,7.0,5.0,71.0,38.0,33.0,2009
435,Kim Hughes,LAC,1,1,33,8,25,33,8,25,33,8,25,0.242,,,,,,,,,,2009
436,Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,1098,460,0.705,23.0,16.0,7.0,171.0,114.0,57.0,323.0,225.0,98.0,2009
437,Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,71,114,0.384,,,,,,,,,,2009
438,Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,90,74,0.5489999999999999,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2009
439,Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,361,335,0.519,7.0,3.0,4.0,7.0,3.0,4.0,42.0,18.0,24.0,2009
440,Kurt Rambis,MIN,1,2,82,15,67,82,15,67,119,39,80,0.32799999999999996,,,,,,,8.0,3.0,5.0,2009
441,Lawrence Frank,NJN,7,7,16,0,16,466,225,241,466,225,241,0.483,,,,38.0,18.0,20.0,38.0,18.0,20.0,2009
442,Tom Barrise,NJN,1,1,2,0,2,2,0,2,2,0,2,0.0,,,,,,,,,,2009
443,Kiki Vandeweghe,NJN,1,1,64,12,52,64,12,52,64,12,52,0.188,,,,,,,,,,2009
444,Byron Scott,NOH,6,10,9,3,6,419,203,216,707,352,355,0.498,,,,17.0,8.0,9.0,57.0,33.0,24.0,2009
445,Jeff Bower,NOH,1,1,73,34,39,73,34,39,73,34,39,0.466,,,,,,,,,,2009
446,Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,328,275,0.544,,,,,,,51.0,26.0,25.0,2009
447,Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,72,79,0.47700000000000004,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2009
448,Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,282,149,0.654,14.0,10.0,4.0,48.0,28.0,20.0,76.0,45.0,31.0,2009
449,Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,257,343,0.428,,,,,,,26.0,8.0,18.0,2009
450,Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,249,267,0.483,16.0,10.0,6.0,16.0,10.0,6.0,21.0,12.0,9.0,2009
451,Nate McMillan,POR,5,10,82,50,32,410,198,212,805,410,395,0.509,6.0,2.0,4.0,12.0,4.0,8.0,28.0,12.0,16.0,2009
452,Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,292,216,0.575,,,,,,,49.0,27.0,22.0,2009
453,Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,736,362,0.67,10.0,4.0,6.0,175.0,106.0,69.0,175.0,106.0,69.0,2009
454,Jay Triano,TOR,2,2,82,40,42,147,65,82,147,65,82,0.442,,,,,,,,,,2009
455,Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,1190,780,0.604,10.0,4.0,6.0,196.0,96.0,100.0,202.0,98.0,104.0,2009
456,Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,613,452,0.5760000000000001,,,,,,,98.0,47.0,51.0,2009
457,Hubie Brown,ATL,3,5,82,46,36,246,118,128,414,222,192,0.536,9.0,5.0,4.0,11.0,5.0,6.0,36.0,22.0,14.0,1978
458,Tom Sanders,BOS,2,2,14,2,12,62,23,39,62,23,39,0.371,,,,,,,,,,1978
459,Dave Cowens,BOS,1,1,68,27,41,68,27,41,68,27,41,0.397,,,,,,,,,,1978
460,Larry Costello,CHI,1,10,56,20,36,56,20,36,730,430,300,0.589,,,,,,,60.0,37.0,23.0,1978
461,Scotty Robertson,CHI,1,2,26,11,15,26,11,15,41,12,29,0.293,,,,,,,,,,1978
462,Bill Fitch,CLE,9,9,82,30,52,738,304,434,738,304,434,0.41200000000000003,,,,18.0,7.0,11.0,18.0,7.0,11.0,1978
