,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season
511,Tom Thibodeau,CHI,5,5,82,50,32,394,255,139,394,255,139,0.647,12.0,6.0,6.0,51.0,23.0,28.0,51.0,23.0,28.0,2014
512,Steve Clifford,CHO,2,2,82,33,49,164,76,88,164,76,88,0.46299999999999997,,,,4.0,0.0,4.0,4.0,0.0,4.0,2014
513,David Blatt,CLE,1,1,82,53,29,82,53,29,82,53,29,0.6459999999999999,20.0,14.0,6.0,20.0,14.0,6.0,20.0,14.0,6.0,2014
514,Rick Carlisle,DAL,7,13,82,50,32,558,338,220,1050,619,431,0.59,5.0,1.0,4.0,53.0,27.0,26.0,115.0,57.0,58.0,2014
515,Brian Shaw,DEN,2,2,59,20,39,141,56,85,141,56,85,0.397,,,,,,,,,,2014
516,Melvin Hunt,DEN,1,1,23,10,13,23,10,13,23,10,13,0.435,,,,,,,,,,2014
517,Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,403,258,0.61,,,,,,,87.0,48.0,39.0,2014
518,Steve Kerr,GSW,1,1,82,67,15,82,67,15,82,67,15,0.8170000000000001,21.0,16.0,5.0,21.0,16.0,5.0,21.0,16.0,5.0,2014
519,Kevin McHale,HOU,4,6,82,56,26,312,189,123,406,228,178,0.562,17.0,9.0,8.0,29.0,13.0,16.0,29.0,13.0,16.0,2014
520,Frank Vogel,IND,5,5,82,38,44,349,205,144,349,205,144,0.5870000000000001,,,,54.0,28.0,26.0,54.0,28.0,26.0,2014
521,Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,700,524,0.5720000000000001,14.0,7.0,7.0,27.0,13.0,14.0,148.0,77.0,71.0,2014
522,Byron Scott,LAL,1,14,82,21,61,82,21,61,1019,437,582,0.429,,,,,,,57.0,33.0,24.0,2014
523,Dave Joerger,MEM,2,2,82,55,27,164,105,59,164,105,59,0.64,11.0,6.0,5.0,18.0,9.0,9.0,18.0,9.0,9.0,2014
524,Erik Spoelstra,MIA,7,7,82,37,45,558,351,207,558,351,207,0.629,,,,99.0,63.0,36.0,99.0,63.0,36.0,2014
525,Jason Kidd,MIL,1,2,82,41,41,82,41,41,164,85,79,0.518,6.0,2.0,4.0,6.0,2.0,4.0,18.0,7.0,11.0,2014
526,Flip Saunders,MIN,11,17,82,16,66,819,427,392,1246,654,592,0.525,,,,47.0,17.0,30.0,98.0,47.0,51.0,2014
527,Monty Williams,NOP,5,5,82,45,37,394,173,221,394,173,221,0.439,4.0,0.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,2014
528,Derek Fisher,NYK,1,1,82,17,65,82,17,65,82,17,65,0.207,,,,,,,,,,2014
529,Scott Brooks,OKC,7,7,82,45,37,545,338,207,545,338,207,0.62,,,,73.0,39.0,34.0,73.0,39.0,34.0,2014
530,Jacque Vaughn,ORL,3,3,52,15,37,216,58,158,216,58,158,0.26899999999999996,,,,,,,,,,2014
531,James Borrego,ORL,1,1,30,10,20,30,10,20,30,10,20,0.33299999999999996,,,,,,,,,,2014
532,Brett Brown,PHI,2,2,82,18,64,164,37,127,164,37,127,0.226,,,,,,,,,,2014
533,Jeff Hornacek,PHO,2,2,82,39,43,164,87,77,164,87,77,0.53,,,,,,,,,,2014
534,Terry Stotts,POR,3,7,82,51,31,246,138,108,529,253,276,0.478,5.0,1.0,4.0,16.0,6.0,10.0,21.0,7.0,14.0,2014
535,Mike Malone,SAC,2,2,24,11,13,106,39,67,106,39,67,0.368,,,,,,,,,,2014
536,Tyrone Corbin,SAC,1,5,28,7,21,28,7,21,286,119,167,0.41600000000000004,,,,,,,4.0,0.0,4.0,2014
537,George Karl,SAC,1,26,30,11,19,30,11,19,1917,1142,775,0.596,,,,,,,185.0,80.0,105.0,2014
538,Gregg Popovich,SAS,19,19,82,55,27,1492,1022,470,1492,1022,470,0.685,7.0,3.0,4.0,246.0,152.0,94.0,246.0,152.0,94.0,2014
539,Dwane Casey,TOR,4,6,82,49,33,312,154,158,434,207,227,0.47700000000000004,4.0,0.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2014
540,Quin Snyder,UTA,1,1,82,38,44,82,38,44,82,38,44,0.46299999999999997,,,,,,,,,,2014
541,Randy Wittman,WAS,4,9,82,46,36,295,137,158,602,237,365,0.39399999999999996,10.0,6.0,4.0,21.0,12.0,9.0,21.0,12.0,9.0,2014
542,Mike Woodson,ATL,2,2,82,26,56,164,39,125,164,39,125,0.23800000000000002,,,,,,,,,,2005
543,Doc Rivers,BOS,2,7,82,33,49,164,78,86,503,249,254,0.495,,,,7.0,3.0,4.0,22.0,8.0,14.0,2005
544,Bernie Bickerstaff,CHA,2,12,82,26,56,164,44,120,850,382,468,0.449,,,,,,,33.0,12.0,21.0,2005
545,Scott Skiles,CHI,3,6,82,41,41,230,107,123,425,223,202,0.525,6.0,2.0,4.0,12.0,4.0,8.0,25.0,9.0,16.0,2005
546,Mike Brown,CLE,1,1,82,50,32,82,50,32,82,50,32,0.61,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2005
547,Avery Johnson,DAL,2,2,82,60,22,100,76,24,100,76,24,0.76,23.0,14.0,9.0,36.0,20.0,16.0,36.0,20.0,16.0,2005
548,George Karl,DEN,2,18,82,44,38,122,76,46,1329,784,545,0.59,5.0,1.0,4.0,10.0,2.0,8.0,136.0,61.0,75.0,2005
549,Flip Saunders,DET,1,11,82,64,18,82,64,18,819,475,344,0.58,18.0,10.0,8.0,18.0,10.0,8.0,65.0,27.0,38.0,2005
550,Mike Montgomery,GSW,2,2,82,34,48,164,68,96,164,68,96,0.415,,,,,,,,,,2005
551,Jeff Van Gundy,HOU,3,10,82,34,48,246,130,116,666,378,288,0.568,,,,12.0,4.0,8.0,81.0,41.0,40.0,2005
552,Rick Carlisle,IND,3,5,82,41,41,246,146,100,410,246,164,0.6,6.0,2.0,4.0,35.0,18.0,17.0,62.0,30.0,32.0,2005
553,Mike Dunleavy,LAC,3,13,82,47,35,246,112,134,1034,510,524,0.493,12.0,7.0,5.0,12.0,7.0,5.0,71.0,38.0,33.0,2005
554,Phil Jackson,LAL,6,15,82,45,37,492,332,160,1230,877,353,0.713,7.0,3.0,4.0,99.0,67.0,32.0,251.0,178.0,73.0,2005
555,Mike Fratello,MEM,2,16,82,49,33,148,89,59,1185,661,524,0.5579999999999999,4.0,0.0,4.0,8.0,0.0,8.0,62.0,20.0,42.0,2005
556,Stan Van Gundy,MIA,3,3,21,11,10,185,112,73,185,112,73,0.605,,,,28.0,17.0,11.0,28.0,17.0,11.0,2005
557,Pat Riley,MIA,9,22,61,41,20,685,395,290,1740,1151,589,0.6609999999999999,23.0,16.0,7.0,66.0,34.0,32.0,278.0,171.0,107.0,2005
558,Terry Stotts,MIL,1,3,82,40,42,82,40,42,219,92,127,0.42,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2005
559,Dwane Casey,MIN,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,2005
560,Lawrence Frank,NJN,3,3,82,49,33,204,116,88,204,116,88,0.569,11.0,5.0,6.0,26.0,12.0,14.0,26.0,12.0,14.0,2005
561,Byron Scott,NOK,2,6,82,38,44,164,56,108,452,205,247,0.45399999999999996,,,,,,,40.0,25.0,15.0,2005
562,Larry Brown,NYK,1,27,82,23,59,82,23,59,2146,1239,907,0.5770000000000001,,,,,,,231.0,120.0,111.0,2005
563,Brian Hill,ORL,5,8,82,36,46,377,227,150,531,258,273,0.486,,,,36.0,18.0,18.0,36.0,18.0,18.0,2005
564,Maurice Cheeks,PHI,1,5,82,38,44,82,38,44,383,200,183,0.522,,,,,,,10.0,3.0,7.0,2005
565,Mike D'Antoni,PHO,3,4,82,54,28,225,137,88,275,151,124,0.5489999999999999,20.0,10.0,10.0,35.0,19.0,16.0,35.0,19.0,16.0,2005
566,Nate McMillan,POR,1,6,82,21,61,82,21,61,477,233,244,0.488,,,,,,,16.0,8.0,8.0,2005
567,Rick Adelman,SAC,8,16,82,44,38,624,395,229,1233,752,481,0.61,6.0,2.0,4.0,69.0,34.0,35.0,138.0,70.0,68.0,2005
568,Gregg Popovich,SAS,10,10,82,63,19,770,518,252,770,518,252,0.6729999999999999,13.0,7.0,6.0,123.0,76.0,47.0,123.0,76.0,47.0,2005
569,Bob Weiss,SEA,1,7,30,13,17,30,13,17,522,223,299,0.42700000000000005,,,,,,,11.0,2.0,9.0,2005
570,Bob Hill,SEA,1,8,52,22,30,52,22,30,521,279,242,0.536,,,,,,,37.0,17.0,20.0,2005
571,Sam Mitchell,TOR,2,2,82,27,55,164,60,104,164,60,104,0.366,,,,,,,,,,2005
572,Jerry Sloan,UTA,18,21,82,41,41,1427,890,537,1642,984,658,0.599,,,,152.0,76.0,76.0,158.0,78.0,80.0,2005
573,Eddie Jordan,WAS,3,5,82,42,40,246,112,134,343,145,198,0.423,6.0,2.0,4.0,16.0,6.0,10.0,16.0,6.0,10.0,2005
574,Kevin Loughery,ATL,2,11,82,43,39,164,85,79,810,387,423,0.478,3.0,1.0,2.0,5.0,1.0,4.0,39.0,22.0,17.0,1982
575,Bill Fitch,BOS,4,13,82,56,26,328,242,86,1066,546,520,0.512,7.0,2.0,5.0,45.0,26.0,19.0,63.0,33.0,30.0,1982
576,Paul Westhead,CHI,1,4,82,28,54,82,28,54,243,139,104,0.5720000000000001,,,,,,,19.0,13.0,6.0,1982
