,Unnamed: 0,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season,pl_win_percent,Seasons
408,408,Brian Hill,MEM,3,7,22,4,18,154,31,123,449,222,227,0.494,,,,,,,36.0,18.0,18.0,1999,,1998-2008
409,409,Lionel Hollins,MEM,1,1,60,18,42,60,18,42,60,18,42,0.3,,,,,,,,,,1999,,1998-2008
414,414,Red Auerbach,BOS,2,6,66,39,27,135,78,57,360,221,139,0.614,3.0,1.0,2.0,5.0,1.0,4.0,25.0,10.0,15.0,1951,0.3333333333333333,1950-59
418,418,John Kundla,LAL,4,4,66,40,26,262,179,83,262,179,83,0.6829999999999999,13.0,9.0,4.0,42.0,30.0,12.0,42.0,30.0,12.0,1951,0.6923076923076923,1950-59
422,422,Al Cervi,PHI,3,3,66,40,26,196,123,73,196,123,73,0.628,7.0,3.0,4.0,25.0,13.0,12.0,25.0,13.0,12.0,1951,0.42857142857142855,1950-59
423,423,Mike Woodson,ATL,6,6,82,53,29,492,206,286,492,206,286,0.419,11.0,4.0,7.0,29.0,11.0,18.0,29.0,11.0,18.0,2009,0.36363636363636365,2008-2018
424,424,Doc Rivers,BOS,6,11,82,50,32,492,280,212,831,451,380,0.5429999999999999,24.0,15.0,9.0,71.0,41.0,30.0,86.0,46.0,40.0,2009,0.625,2008-2018
425,425,Larry Brown,CHO,2,29,82,44,38,164,79,85,2310,1318,992,0.5710000000000001,4.0,0.0,4.0,4.0,0.0,4.0,235.0,120.0,115.0,2009,0.0,2008-2018
427,427,Mike Brown,CLE,5,5,82,61,21,410,272,138,410,272,138,0.6629999999999999,11.0,6.0,5.0,71.0,42.0,29.0,71.0,42.0,29.0,2009,0.5454545454545454,2008-2018
428,428,Rick Carlisle,DAL,2,8,82,55,27,164,105,59,656,386,270,0.588,6.0,2.0,4.0,16.0,7.0,9.0,78.0,37.0,41.0,2009,0.3333333333333333,2008-2018
429,429,George Karl,DEN,6,22,82,53,29,450,278,172,1657,986,671,0.595,6.0,2.0,4.0,41.0,15.0,26.0,167.0,74.0,93.0,2009,0.3333333333333333,2008-2018
431,431,Don Nelson,GSW,11,31,82,26,56,865,422,443,2398,1335,1063,0.557,,,,35.0,14.0,21.0,166.0,75.0,91.0,2009,,2008-2018
432,432,Rick Adelman,HOU,3,19,82,42,40,246,150,96,1479,902,577,0.61,,,,19.0,9.0,10.0,157.0,79.0,78.0,2009,,2008-2018
433,433,Jim O'Brien,IND,3,8,82,32,50,246,104,142,586,286,300,0.488,,,,,,,31.0,14.0,17.0,2009,,2008-2018
434,434,Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,613,716,0.461,,,,12.0,7.0,5.0,71.0,38.0,33.0,2009,,2008-2018
436,436,Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,1098,460,0.705,23.0,16.0,7.0,171.0,114.0,57.0,323.0,225.0,98.0,2009,0.6956521739130435,2008-2018
437,437,Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,71,114,0.384,,,,,,,,,,2009,,2008-2018
438,438,Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,90,74,0.5489999999999999,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2009,0.2,2008-2018
439,439,Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,361,335,0.519,7.0,3.0,4.0,7.0,3.0,4.0,42.0,18.0,24.0,2009,0.42857142857142855,2008-2018
441,441,Lawrence Frank,BRK,7,7,16,0,16,466,225,241,466,225,241,0.483,,,,38.0,18.0,20.0,38.0,18.0,20.0,2009,,2008-2018
444,444,Byron Scott,NOP,6,10,9,3,6,419,203,216,707,352,355,0.498,,,,17.0,8.0,9.0,57.0,33.0,24.0,2009,,2008-2018
446,446,Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,328,275,0.544,,,,,,,51.0,26.0,25.0,2009,,2008-2018
447,447,Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,72,79,0.477,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2009,0.3333333333333333,2008-2018
448,448,Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,282,149,0.654,14.0,10.0,4.0,48.0,28.0,20.0,76.0,45.0,31.0,2009,0.7142857142857143,2008-2018
449,449,Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,257,343,0.428,,,,,,,26.0,8.0,18.0,2009,,2008-2018
450,450,Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,249,267,0.483,16.0,10.0,6.0,16.0,10.0,6.0,21.0,12.0,9.0,2009,0.625,2008-2018
451,451,Nate McMillan,POR,5,10,82,50,32,410,198,212,805,410,395,0.509,6.0,2.0,4.0,12.0,4.0,8.0,28.0,12.0,16.0,2009,0.3333333333333333,2008-2018
452,452,Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,292,216,0.575,,,,,,,49.0,27.0,22.0,2009,,2008-2018
453,453,Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,736,362,0.67,10.0,4.0,6.0,175.0,106.0,69.0,175.0,106.0,69.0,2009,0.4,2008-2018
455,455,Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,1190,780,0.604,10.0,4.0,6.0,196.0,96.0,100.0,202.0,98.0,104.0,2009,0.4,2008-2018
456,456,Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,613,452,0.5760000000000001,,,,,,,98.0,47.0,51.0,2009,,2008-2018
457,457,Hubie Brown,ATL,3,5,82,46,36,246,118,128,414,222,192,0.536,9.0,5.0,4.0,11.0,5.0,6.0,36.0,22.0,14.0,1978,0.5555555555555556,1969-1979
460,460,Larry Costello,CHI,1,10,56,20,36,56,20,36,730,430,300,0.589,,,,,,,60.0,37.0,23.0,1978,,1969-1979
462,462,Bill Fitch,CLE,9,9,82,30,52,738,304,434,738,304,434,0.412,,,,18.0,7.0,11.0,18.0,7.0,11.0,1978,,1969-1979
463,463,Larry Brown,DEN,5,7,53,28,25,385,251,134,553,355,198,0.642,,,,45.0,21.0,24.0,61.0,28.0,33.0,1978,,1969-1979
466,466,Al Attles,GSW,10,10,82,38,44,768,425,343,768,425,343,0.5529999999999999,,,,61.0,31.0,30.0,61.0,31.0,30.0,1978,,1969-1979
467,467,Tom Nissalke,HOU,3,8,82,47,35,246,124,122,531,260,271,0.49,2.0,0.0,2.0,14.0,6.0,8.0,31.0,11.0,20.0,1978,0.0,1969-1979
469,469,Cotton Fitzsimmons,SAC,1,8,82,48,34,82,48,34,648,312,336,0.481,5.0,1.0,4.0,5.0,1.0,4.0,11.0,3.0,8.0,1978,0.2,1969-1979
471,471,Don Nelson,MIL,3,3,82,38,44,228,109,119,228,109,119,0.478,,,,9.0,5.0,4.0,9.0,5.0,4.0,1978,,1969-1979
472,472,Kevin Loughery,BRK,6,7,82,37,45,498,251,247,529,256,273,0.484,2.0,0.0,2.0,34.0,21.0,13.0,34.0,21.0,13.0,1978,0.0,1969-1979
475,475,Red Holzman,NYK,11,15,68,25,43,850,491,359,1053,574,479,0.545,,,,95.0,54.0,41.0,103.0,58.0,45.0,1978,,1969-1979
476,476,Billy Cunningham,PHI,2,2,82,47,35,158,100,58,158,100,58,0.633,9.0,5.0,4.0,19.0,11.0,8.0,19.0,11.0,8.0,1978,0.5555555555555556,1969-1979
477,477,John MacLeod,PHO,6,6,82,50,32,492,237,255,492,237,255,0.482,15.0,9.0,6.0,36.0,19.0,17.0,36.0,19.0,17.0,1978,0.6,1969-1979
478,478,Jack Ramsay,POR,3,11,82,45,37,246,152,94,902,484,418,0.537,3.0,1.0,2.0,28.0,17.0,11.0,67.0,31.0,36.0,1978,0.3333333333333333,1969-1979
479,479,Doug Moe,SAS,3,3,82,48,34,246,144,102,246,144,102,0.585,14.0,7.0,7.0,22.0,9.0,13.0,22.0,9.0,13.0,1978,0.5,1969-1979
480,480,Gene Shue,LAC,1,13,82,43,39,82,43,39,964,491,473,0.509,,,,,,,62.0,25.0,37.0,1978,,1969-1979
481,481,Lenny Wilkens,OKC,5,7,82,52,30,388,215,173,552,290,262,0.525,17.0,12.0,5.0,39.0,25.0,14.0,39.0,25.0,14.0,1978,0.7058823529411765,1969-1979
482,482,Dick Motta,WAS,3,11,82,54,28,246,146,100,902,502,400,0.557,19.0,9.0,10.0,49.0,27.0,22.0,96.0,45.0,51.0,1978,0.47368421052631576,1969-1979
483,483,Mike Fratello,ATL,3,3,82,34,48,167,74,93,167,74,93,0.443,,,,5.0,2.0,3.0,5.0,2.0,3.0,1984,,1979-1988
484,484,K.C. Jones,BOS,2,6,82,63,19,164,125,39,494,310,184,0.628,21.0,13.0,8.0,44.0,28.0,16.0,79.0,42.0,37.0,1984,0.6190476190476191,1979-1988
485,485,Kevin Loughery,CHI,2,13,82,38,44,164,65,99,974,452,522,0.464,4.0,1.0,3.0,4.0,1.0,3.0,43.0,23.0,20.0,1984,0.25,1979-1988
486,486,George Karl,CLE,1,1,82,36,46,82,36,46,82,36,46,0.439,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1984,0.25,1979-1988
487,487,Dick Motta,DAL,5,17,82,44,38,410,168,242,1394,709,685,0.509,4.0,1.0,3.0,14.0,5.0,9.0,112.0,50.0,62.0,1984,0.25,1979-1988
488,488,Doug Moe,DEN,5,9,82,52,30,379,207,172,691,384,307,0.556,15.0,8.0,7.0,31.0,14.0,17.0,53.0,23.0,30.0,1984,0.5333333333333333,1979-1988
489,489,Chuck Daly,DET,2,3,82,46,36,164,95,69,205,104,101,0.507,9.0,5.0,4.0,14.0,7.0,7.0,14.0,7.0,7.0,1984,0.5555555555555556,1979-1988
491,491,Bill Fitch,HOU,2,15,82,48,34,164,77,87,1230,623,607,0.507,5.0,2.0,3.0,5.0,2.0,3.0,68.0,35.0,33.0,1984,0.4,1979-1988
494,494,Phil Johnson,SAC,6,7,73,30,43,414,185,229,415,185,230,0.446,,,,6.0,2.0,4.0,6.0,2.0,4.0,1984,,1979-1988
495,495,Jim Lynam,LAC,2,2,61,22,39,143,52,91,143,52,91,0.364,,,,,,,,,,1984,,1979-1988
496,496,Don Chaney,LAC,1,1,21,9,12,21,9,12,21,9,12,0.429,,,,,,,,,,1984,,1979-1988
497,497,Pat Riley,LAL,4,4,82,62,20,317,224,93,317,224,93,0.7070000000000001,19.0,15.0,4.0,69.0,49.0,20.0,69.0,49.0,20.0,1984,0.7894736842105263,1979-1988
498,498,Don Nelson,MIL,9,9,82,59,23,720,433,287,720,433,287,0.601,8.0,3.0,5.0,62.0,29.0,33.0,62.0,29.0,33.0,1984,0.375,1979-1988
500,500,Hubie Brown,NYK,3,10,82,24,58,246,115,131,821,418,403,0.509,,,,18.0,8.0,10.0,59.0,31.0,28.0,1984,,1979-1988
501,501,Billy Cunningham,PHI,8,8,82,58,24,650,454,196,650,454,196,0.698,13.0,8.0,5.0,105.0,66.0,39.0,105.0,66.0,39.0,1984,0.6153846153846154,1979-1988
502,502,John MacLeod,PHO,12,12,82,36,46,984,525,459,984,525,459,0.534,3.0,0.0,3.0,81.0,37.0,44.0,81.0,37.0,44.0,1984,0.0,1979-1988
503,503,Jack Ramsay,POR,9,17,82,42,40,738,413,325,1394,745,649,0.534,9.0,4.0,5.0,55.0,28.0,27.0,94.0,42.0,52.0,1984,0.4444444444444444,1979-1988
504,504,Cotton Fitzsimmons,SAS,1,14,82,41,41,82,41,41,1140,553,587,0.485,5.0,2.0,3.0,5.0,2.0,3.0,37.0,13.0,24.0,1984,0.4,1979-1988
505,505,Lenny Wilkens,OKC,11,13,82,31,51,880,478,402,1044,553,491,0.53,,,,69.0,37.0,32.0,69.0,37.0,32.0,1984,,1979-1988
506,506,Frank Layden,UTA,4,4,82,41,41,308,133,175,308,133,175,0.4320000000000001,10.0,4.0,6.0,21.0,9.0,12.0,21.0,9.0,12.0,1984,0.4,1979-1988
507,507,Gene Shue,WAS,12,19,82,40,42,958,490,468,1456,725,731,0.498,4.0,1.0,3.0,55.0,19.0,36.0,77.0,30.0,47.0,1984,0.25,1979-1988
510,510,Lionel Hollins,BRK,1,8,82,38,44,82,38,44,497,252,245,0.507,6.0,2.0,4.0,6.0,2.0,4.0,41.0,20.0,21.0,2014,0.3333333333333333,2008-2018
511,511,Tom Thibodeau,CHI,5,5,82,50,32,394,255,139,394,255,139,0.647,12.0,6.0,6.0,51.0,23.0,28.0,51.0,23.0,28.0,2014,0.5,2008-2018
514,514,Rick Carlisle,DAL,7,13,82,50,32,558,338,220,1050,619,431,0.59,5.0,1.0,4.0,53.0,27.0,26.0,115.0,57.0,58.0,2014,0.2,2008-2018
517,517,Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,403,258,0.61,,,,,,,87.0,48.0,39.0,2014,,2008-2018
520,520,Frank Vogel,IND,5,5,82,38,44,349,205,144,349,205,144,0.5870000000000001,,,,54.0,28.0,26.0,54.0,28.0,26.0,2014,,2008-2018
521,521,Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,700,524,0.5720000000000001,14.0,7.0,7.0,27.0,13.0,14.0,148.0,77.0,71.0,2014,0.5,2008-2018
522,522,Byron Scott,LAL,1,14,82,21,61,82,21,61,1019,437,582,0.429,,,,,,,57.0,33.0,24.0,2014,,2008-2018
524,524,Erik Spoelstra,MIA,7,7,82,37,45,558,351,207,558,351,207,0.629,,,,99.0,63.0,36.0,99.0,63.0,36.0,2014,,2008-2018
526,526,Flip Saunders,MIN,11,17,82,16,66,819,427,392,1246,654,592,0.525,,,,47.0,17.0,30.0,98.0,47.0,51.0,2014,,2008-2018
529,529,Scott Brooks,OKC,7,7,82,45,37,545,338,207,545,338,207,0.62,,,,73.0,39.0,34.0,73.0,39.0,34.0,2014,,2008-2018
534,534,Terry Stotts,POR,3,7,82,51,31,246,138,108,529,253,276,0.478,5.0,1.0,4.0,16.0,6.0,10.0,21.0,7.0,14.0,2014,0.2,2008-2018
537,537,George Karl,SAC,1,26,30,11,19,30,11,19,1917,1142,775,0.596,,,,,,,185.0,80.0,105.0,2014,,2008-2018
538,538,Gregg Popovich,SAS,19,19,82,55,27,1492,1022,470,1492,1022,470,0.685,7.0,3.0,4.0,246.0,152.0,94.0,246.0,152.0,94.0,2014,0.42857142857142855,2008-2018
539,539,Dwane Casey,TOR,4,6,82,49,33,312,154,158,434,207,227,0.477,4.0,0.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2014,0.0,2008-2018
541,541,Randy Wittman,WAS,4,9,82,46,36,295,137,158,602,237,365,0.394,10.0,6.0,4.0,21.0,12.0,9.0,21.0,12.0,9.0,2014,0.6,2008-2018
542,542,Mike Woodson,ATL,2,2,82,26,56,164,39,125,164,39,125,0.238,,,,,,,,,,2005,,1998-2008
543,543,Doc Rivers,BOS,2,7,82,33,49,164,78,86,503,249,254,0.495,,,,7.0,3.0,4.0,22.0,8.0,14.0,2005,,1998-2008
544,544,Bernie Bickerstaff,CHO,2,12,82,26,56,164,44,120,850,382,468,0.449,,,,,,,33.0,12.0,21.0,2005,,1998-2008
545,545,Scott Skiles,CHI,3,6,82,41,41,230,107,123,425,223,202,0.525,6.0,2.0,4.0,12.0,4.0,8.0,25.0,9.0,16.0,2005,0.3333333333333333,1998-2008
546,546,Mike Brown,CLE,1,1,82,50,32,82,50,32,82,50,32,0.61,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2005,0.5384615384615384,1998-2008
548,548,George Karl,DEN,2,18,82,44,38,122,76,46,1329,784,545,0.59,5.0,1.0,4.0,10.0,2.0,8.0,136.0,61.0,75.0,2005,0.2,1998-2008
549,549,Flip Saunders,DET,1,11,82,64,18,82,64,18,819,475,344,0.58,18.0,10.0,8.0,18.0,10.0,8.0,65.0,27.0,38.0,2005,0.5555555555555556,1998-2008
551,551,Jeff Van Gundy,HOU,3,10,82,34,48,246,130,116,666,378,288,0.568,,,,12.0,4.0,8.0,81.0,41.0,40.0,2005,,1998-2008
552,552,Rick Carlisle,IND,3,5,82,41,41,246,146,100,410,246,164,0.6,6.0,2.0,4.0,35.0,18.0,17.0,62.0,30.0,32.0,2005,0.3333333333333333,1998-2008
553,553,Mike Dunleavy,LAC,3,13,82,47,35,246,112,134,1034,510,524,0.493,12.0,7.0,5.0,12.0,7.0,5.0,71.0,38.0,33.0,2005,0.5833333333333334,1998-2008
554,554,Phil Jackson,LAL,6,15,82,45,37,492,332,160,1230,877,353,0.713,7.0,3.0,4.0,99.0,67.0,32.0,251.0,178.0,73.0,2005,0.42857142857142855,1998-2008
555,555,Mike Fratello,MEM,2,16,82,49,33,148,89,59,1185,661,524,0.5579999999999999,4.0,0.0,4.0,8.0,0.0,8.0,62.0,20.0,42.0,2005,0.0,1998-2008
556,556,Stan Van Gundy,MIA,3,3,21,11,10,185,112,73,185,112,73,0.605,,,,28.0,17.0,11.0,28.0,17.0,11.0,2005,,1998-2008
557,557,Pat Riley,MIA,9,22,61,41,20,685,395,290,1740,1151,589,0.6609999999999999,23.0,16.0,7.0,66.0,34.0,32.0,278.0,171.0,107.0,2005,0.6956521739130435,1998-2008
558,558,Terry Stotts,MIL,1,3,82,40,42,82,40,42,219,92,127,0.42,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2005,0.2,1998-2008
559,559,Dwane Casey,MIN,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,2005,,1998-2008
560,560,Lawrence Frank,BRK,3,3,82,49,33,204,116,88,204,116,88,0.569,11.0,5.0,6.0,26.0,12.0,14.0,26.0,12.0,14.0,2005,0.45454545454545453,1998-2008
561,561,Byron Scott,NOP,2,6,82,38,44,164,56,108,452,205,247,0.454,,,,,,,40.0,25.0,15.0,2005,,1998-2008
562,562,Larry Brown,NYK,1,27,82,23,59,82,23,59,2146,1239,907,0.5770000000000001,,,,,,,231.0,120.0,111.0,2005,,1998-2008
563,563,Brian Hill,ORL,5,8,82,36,46,377,227,150,531,258,273,0.486,,,,36.0,18.0,18.0,36.0,18.0,18.0,2005,,1998-2008
564,564,Maurice Cheeks,PHI,1,5,82,38,44,82,38,44,383,200,183,0.522,,,,,,,10.0,3.0,7.0,2005,,1998-2008
565,565,Mike D'Antoni,PHO,3,4,82,54,28,225,137,88,275,151,124,0.5489999999999999,20.0,10.0,10.0,35.0,19.0,16.0,35.0,19.0,16.0,2005,0.5,1998-2008
566,566,Nate McMillan,POR,1,6,82,21,61,82,21,61,477,233,244,0.488,,,,,,,16.0,8.0,8.0,2005,,1998-2008
567,567,Rick Adelman,SAC,8,16,82,44,38,624,395,229,1233,752,481,0.61,6.0,2.0,4.0,69.0,34.0,35.0,138.0,70.0,68.0,2005,0.3333333333333333,1998-2008
568,568,Gregg Popovich,SAS,10,10,82,63,19,770,518,252,770,518,252,0.6729999999999999,13.0,7.0,6.0,123.0,76.0,47.0,123.0,76.0,47.0,2005,0.5384615384615384,1998-2008
570,570,Bob Hill,OKC,1,8,52,22,30,52,22,30,521,279,242,0.536,,,,,,,37.0,17.0,20.0,2005,,1998-2008
572,572,Jerry Sloan,UTA,18,21,82,41,41,1427,890,537,1642,984,658,0.599,,,,152.0,76.0,76.0,158.0,78.0,80.0,2005,,1998-2008
573,573,Eddie Jordan,WAS,3,5,82,42,40,246,112,134,343,145,198,0.423,6.0,2.0,4.0,16.0,6.0,10.0,16.0,6.0,10.0,2005,0.3333333333333333,1998-2008
574,574,Kevin Loughery,ATL,2,11,82,43,39,164,85,79,810,387,423,0.478,3.0,1.0,2.0,5.0,1.0,4.0,39.0,22.0,17.0,1982,0.3333333333333333,1979-1988
575,575,Bill Fitch,BOS,4,13,82,56,26,328,242,86,1066,546,520,0.512,7.0,2.0,5.0,45.0,26.0,19.0,63.0,33.0,30.0,1982,0.2857142857142857,1979-1988
577,577,Tom Nissalke,CLE,1,12,82,23,59,82,23,59,797,343,454,0.43,,,,,,,31.0,11.0,20.0,1982,,1979-1988
578,578,Dick Motta,DAL,3,15,82,38,44,246,81,165,1230,622,608,0.506,,,,,,,98.0,45.0,53.0,1982,,1979-1988
579,579,Doug Moe,DEN,3,7,82,45,37,215,117,98,527,294,233,0.5579999999999999,8.0,3.0,5.0,11.0,4.0,7.0,33.0,13.0,20.0,1982,0.375,1979-1988
581,581,Al Attles,GSW,14,14,82,30,52,1075,557,518,1075,557,518,0.518,,,,61.0,31.0,30.0,61.0,31.0,30.0,1982,,1979-1988
582,582,Del Harris,HOU,4,4,82,14,68,328,141,187,328,141,187,0.43,,,,31.0,15.0,16.0,31.0,15.0,16.0,1982,,1979-1988
584,584,Cotton Fitzsimmons,SAC,5,12,82,45,37,410,210,200,976,474,502,0.486,,,,23.0,9.0,14.0,29.0,11.0,18.0,1982,,1979-1988
585,585,Pat Riley,LAL,2,2,82,58,24,153,108,45,153,108,45,0.706,15.0,8.0,7.0,29.0,20.0,9.0,29.0,20.0,9.0,1982,0.5333333333333333,1979-1988
586,586,Don Nelson,MIL,7,7,82,51,31,556,324,232,556,324,232,0.583,9.0,5.0,4.0,38.0,18.0,20.0,38.0,18.0,20.0,1982,0.5555555555555556,1979-1988
587,587,Larry Brown,BRK,2,9,76,47,29,158,91,67,711,446,265,0.627,,,,2.0,0.0,2.0,63.0,28.0,35.0,1982,,1979-1988
589,589,Hubie Brown,NYK,1,8,82,44,38,82,44,38,657,347,310,0.528,6.0,2.0,4.0,6.0,2.0,4.0,47.0,25.0,22.0,1982,0.3333333333333333,1979-1988
590,590,Billy Cunningham,PHI,6,6,82,65,17,486,344,142,486,344,142,0.708,13.0,12.0,1.0,87.0,56.0,31.0,87.0,56.0,31.0,1982,0.9230769230769231,1979-1988
591,591,John MacLeod,PHO,10,10,82,53,29,820,448,372,820,448,372,0.546,3.0,1.0,2.0,61.0,28.0,33.0,61.0,28.0,33.0,1982,0.3333333333333333,1979-1988
592,592,Jack Ramsay,POR,7,15,82,46,36,574,323,251,1230,655,575,0.5329999999999999,7.0,3.0,4.0,41.0,22.0,19.0,80.0,36.0,44.0,1982,0.42857142857142855,1979-1988
594,594,Paul Silas,LAC,3,3,82,25,57,246,78,168,246,78,168,0.317,,,,,,,,,,1982,,1979-1988
595,595,Lenny Wilkens,OKC,9,11,82,48,34,716,405,311,880,480,400,0.545,2.0,0.0,2.0,64.0,35.0,29.0,64.0,35.0,29.0,1982,0.0,1979-1988
596,596,Frank Layden,UTA,2,2,82,30,52,144,47,97,144,47,97,0.326,,,,,,,,,,1982,,1979-1988
597,597,Gene Shue,WAS,10,17,82,42,40,794,415,379,1292,650,642,0.503,,,,47.0,17.0,30.0,69.0,28.0,41.0,1982,,1979-1988
598,598,Cotton Fitzsimmons,ATL,1,3,82,46,36,82,46,36,246,143,103,0.581,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,1972,0.3333333333333333,1969-1979
599,599,Gene Shue,WAS,7,7,82,52,30,548,291,257,548,291,257,0.531,5.0,1.0,4.0,40.0,14.0,26.0,40.0,14.0,26.0,1972,0.2,1969-1979
600,600,Tom Heinsohn,BOS,4,4,82,68,14,328,202,126,328,202,126,0.616,13.0,7.0,6.0,24.0,12.0,12.0,24.0,12.0,12.0,1972,0.5384615384615384,1969-1979
601,601,Jack Ramsay,LAC,1,5,82,21,61,82,21,61,410,195,215,0.476,,,,,,,17.0,5.0,12.0,1972,,1969-1979
602,602,Dick Motta,CHI,5,5,82,51,31,410,231,179,410,231,179,0.563,7.0,3.0,4.0,23.0,7.0,16.0,23.0,7.0,16.0,1972,0.42857142857142855,1969-1979
603,603,Bill Fitch,CLE,3,3,82,32,50,246,70,176,246,70,176,0.285,,,,,,,,,,1972,,1969-1979
606,606,Al Attles,GSW,4,4,82,47,35,276,147,129,276,147,129,0.5329999999999999,11.0,5.0,6.0,21.0,7.0,14.0,21.0,7.0,14.0,1972,0.45454545454545453,1969-1979
611,611,Larry Costello,MIL,5,5,82,60,22,410,272,138,410,272,138,0.6629999999999999,6.0,2.0,4.0,41.0,25.0,16.0,41.0,25.0,16.0,1972,0.3333333333333333,1969-1979
612,612,Red Holzman,NYK,6,10,82,57,25,454,299,155,657,382,275,0.581,17.0,12.0,5.0,80.0,48.0,32.0,88.0,52.0,36.0,1972,0.7058823529411765,1969-1979
614,614,Kevin Loughery,PHI,1,1,31,5,26,31,5,26,31,5,26,0.161,,,,,,,,,,1972,,1969-1979
615,615,Butch van Breda Kolff,PHO,1,6,7,3,4,7,3,4,345,192,153,0.557,,,,,,,33.0,21.0,12.0,1972,,1969-1979
618,618,Tom Nissalke,OKC,1,2,45,13,32,45,13,32,129,55,74,0.426,,,,,,,4.0,0.0,4.0,1972,,1969-1979
620,620,Mike Woodson,ATL,4,4,82,37,45,328,106,222,328,106,222,0.32299999999999995,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2007,0.42857142857142855,1998-2008
621,621,Doc Rivers,BOS,4,9,82,66,16,328,168,160,667,339,328,0.508,26.0,16.0,10.0,33.0,19.0,14.0,48.0,24.0,24.0,2007,0.6153846153846154,1998-2008
623,623,Scott Skiles,CHI,5,8,25,9,16,337,165,172,532,281,251,0.528,,,,22.0,10.0,12.0,35.0,15.0,20.0,2007,,1998-2008
626,626,Mike Brown,CLE,3,3,82,45,37,246,145,101,246,145,101,0.589,13.0,7.0,6.0,46.0,26.0,20.0,46.0,26.0,20.0,2007,0.5384615384615384,1998-2008
628,628,George Karl,DEN,4,20,82,50,32,286,171,115,1493,879,614,0.589,4.0,0.0,4.0,19.0,3.0,16.0,145.0,62.0,83.0,2007,0.0,1998-2008
629,629,Flip Saunders,DET,3,13,82,59,23,246,176,70,983,587,396,0.597,17.0,10.0,7.0,51.0,30.0,21.0,98.0,47.0,51.0,2007,0.5882352941176471,1998-2008
630,630,Don Nelson,GSW,9,29,82,48,34,701,367,334,2234,1280,954,0.573,,,,35.0,14.0,21.0,166.0,75.0,91.0,2007,,1998-2008
631,631,Rick Adelman,HOU,1,17,82,55,27,82,55,27,1315,807,508,0.614,6.0,2.0,4.0,6.0,2.0,4.0,144.0,72.0,72.0,2007,0.3333333333333333,1998-2008
632,632,Jim O'Brien,IND,1,6,82,36,46,82,36,46,422,218,204,0.517,,,,,,,31.0,14.0,17.0,2007,,1998-2008
633,633,Mike Dunleavy,LAC,5,15,82,23,59,410,175,235,1198,573,625,0.478,,,,12.0,7.0,5.0,71.0,38.0,33.0,2007,,1998-2008
634,634,Phil Jackson,LAL,8,17,82,57,25,656,431,225,1394,976,418,0.7,21.0,14.0,7.0,125.0,82.0,43.0,277.0,193.0,84.0,2007,0.6666666666666666,1998-2008
636,636,Pat Riley,MIA,11,24,82,15,67,849,454,395,1904,1210,694,0.636,,,,70.0,34.0,36.0,282.0,171.0,111.0,2007,,1998-2008
638,638,Randy Wittman,MIN,2,4,82,22,60,124,34,90,288,96,192,0.333,,,,,,,,,,2007,,1998-2008
639,639,Lawrence Frank,BRK,5,5,82,34,48,368,191,177,368,191,177,0.519,,,,38.0,18.0,20.0,38.0,18.0,20.0,2007,,1998-2008
640,640,Byron Scott,NOP,4,8,82,56,26,328,151,177,616,300,316,0.487,12.0,7.0,5.0,12.0,7.0,5.0,52.0,32.0,20.0,2007,0.5833333333333334,1998-2008
642,642,Stan Van Gundy,ORL,1,4,82,52,30,82,52,30,267,164,103,0.614,10.0,5.0,5.0,10.0,5.0,5.0,38.0,22.0,16.0,2007,0.5,1998-2008
643,643,Maurice Cheeks,PHI,3,7,82,40,42,246,113,133,547,275,272,0.503,6.0,2.0,4.0,6.0,2.0,4.0,16.0,5.0,11.0,2007,0.3333333333333333,1998-2008
