,Year,Status,Team,PTS,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Finals_Games
32,1996,Champion,Bulls,93.0,32.8333333333333,79.0,41.561181434599206,6.0,22.8333333333333,26.2773722627737,21.3333333333333,28.1666666666667,75.7396449704142,16.8333333333333,24.0,40.8333333333333,21.6666666666667,8.33333333333333,4.16666666666667,13.333333333333302,24.8333333333333,4
34,1997,Champion,Bulls,87.8333333333333,32.3333333333333,74.8333333333333,43.2071269487751,6.5,18.6666666666667,34.8214285714286,16.6666666666667,23.5,70.9219858156028,10.6666666666667,29.6666666666667,40.3333333333333,19.6666666666667,7.66666666666667,5.33333333333333,11.333333333333302,23.3333333333333,4
36,1998,Champion,Bulls,88.0,32.5,75.5,43.046357615894,4.33333333333333,14.666666666666698,29.5454545454545,18.6666666666667,24.6666666666667,75.6756756756757,12.166666666666698,25.5,37.6666666666667,18.3333333333333,10.0,4.5,12.0,21.0,4
38,1999,Champion,Spurs,84.8,30.0,67.4,44.5103857566766,4.2,12.4,33.8709677419355,20.6,28.2,73.0496453900709,8.4,32.2,40.6,20.2,6.4,5.8,15.4,20.0,4
40,2000,Champion,Lakers,104.833333333333,41.0,85.3333333333333,48.046875,5.83333333333333,15.333333333333302,38.043478260869605,17.0,29.8333333333333,56.98324022346371,12.166666666666698,29.1666666666667,41.3333333333333,23.3333333333333,6.83333333333333,5.16666666666667,10.833333333333302,26.6666666666667,4
42,2001,Champion,Lakers,100.6,36.2,77.8,46.5295629820051,7.2,15.0,48.0,21.0,31.0,67.741935483871,13.4,31.8,45.2,23.0,8.2,8.8,14.8,23.2,4
44,2002,Champion,Lakers,106.0,36.5,72.25,50.519031141868496,7.25,15.25,47.5409836065574,25.75,35.25,73.0496453900709,10.75,33.25,44.0,23.0,7.0,7.0,15.0,19.5,4
46,2003,Champion,Spurs,87.8333333333333,32.1666666666667,74.5,43.1767337807606,4.0,12.5,32.0,19.5,27.6666666666667,70.48192771084341,12.333333333333302,33.5,45.8333333333333,18.1666666666667,7.83333333333333,9.83333333333333,15.833333333333302,20.5,4
48,2004,Champion,Pistons,90.8,31.4,73.2,42.896174863388,4.2,13.2,31.818181818181802,23.8,34.2,69.59064327485379,14.4,31.2,45.6,17.8,7.8,4.0,12.6,20.6,4
50,2005,Champion,Spurs,84.8571428571429,30.857142857142897,71.8571428571429,42.9423459244533,7.28571428571429,18.2857142857143,39.84375,15.857142857142902,22.714285714285698,69.811320754717,12.285714285714299,29.428571428571402,41.7142857142857,16.428571428571402,4.57142857142857,5.571428571428571,15.0,20.2857142857143,4
52,2006,Champion,Heat,92.8333333333333,33.3333333333333,72.8333333333333,45.766590389015995,5.33333333333333,17.5,30.4761904761905,20.8333333333333,34.5,60.38647342995171,10.5,33.3333333333333,43.8333333333333,16.6666666666667,7.83333333333333,3.8333333333333304,16.0,24.3333333333333,4
54,2007,Champion,Spurs,86.5,32.0,72.0,44.4444444444444,7.25,19.5,37.179487179487204,15.25,23.0,66.304347826087,10.75,33.0,43.75,16.75,6.0,3.75,13.0,18.0,4
56,2008,Champion,Celtics,102.166666666667,34.3333333333333,77.3333333333333,44.3965517241379,8.66666666666667,20.1666666666667,42.97520661157021,24.8333333333333,31.8333333333333,78.0104712041885,10.833333333333302,31.3333333333333,42.1666666666667,23.0,8.66666666666667,4.0,12.833333333333302,24.6666666666667,4
58,2009,Champion,Lakers,100.6,38.0,83.2,45.6730769230769,6.4,17.2,37.2093023255814,18.2,24.0,75.8333333333333,10.6,30.0,40.6,16.4,7.2,5.2,10.0,24.2,4
60,2010,Champion,Lakers,90.57142857142858,31.857142857142897,76.28571428571429,41.7602996254682,5.0,17.8571428571429,28.0,21.857142857142897,28.571428571428598,76.5,13.142857142857098,29.285714285714302,42.4285714285714,14.5714285714286,7.28571428571429,6.142857142857139,12.4285714285714,22.285714285714302,4
62,2011,Champion,Mavericks,94.6666666666667,33.0,72.6666666666667,45.41284403669721,8.5,20.6666666666667,41.1290322580645,20.1666666666667,25.8333333333333,78.0645161290323,9.16666666666667,28.5,37.6666666666667,18.1666666666667,7.16666666666667,4.0,13.166666666666698,19.6666666666667,4
64,2012,Champion,Heat,99.6666666666667,35.3333333333333,77.0,45.8874458874459,8.33333333333333,20.5,40.650406504064996,20.6666666666667,25.5,81.0457516339869,9.66666666666667,31.5,41.1666666666667,18.3333333333333,6.16666666666667,3.5,10.833333333333302,18.3333333333333,4
66,2013,Champion,Heat,98.5,38.0,82.1666666666667,46.2474645030426,9.33333333333333,20.5,45.52845528455279,13.166666666666698,16.8333333333333,78.2178217821782,10.0,28.6666666666667,38.6666666666667,21.3333333333333,9.5,5.66666666666667,12.5,22.1666666666667,4
68,2014,Champion,Spurs,105.6,38.2,72.4,52.762430939226505,11.0,23.6,46.610169491525404,18.2,24.4,74.5901639344262,7.8,30.0,37.8,25.4,8.0,3.4,13.4,19.8,4
70,2015,Champion,Warriors,100.666666666667,36.1666666666667,83.0,43.574297188755,11.166666666666698,31.0,36.0215053763441,17.1666666666667,24.8333333333333,69.1275167785235,10.5,33.6666666666667,44.1666666666667,23.0,8.0,5.0,12.666666666666698,24.1666666666667,4
72,2016,Champion,Cavaliers,100.42857142857099,37.5714285714286,82.4285714285714,45.580589254766,8.0,24.285714285714302,32.941176470588196,17.2857142857143,23.857142857142897,72.45508982035929,11.714285714285701,32.1428571428571,43.8571428571429,18.0,9.285714285714288,5.428571428571429,13.285714285714299,21.0,4
74,2017,Champion,Warriors,121.6,43.2,91.0,47.4725274725275,14.2,37.2,38.1720430107527,21.0,25.6,82.03125,12.2,33.6,45.8,29.4,7.6,4.4,13.4,24.4,4
